Jurisdiction,Year,Category,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Total
Caroline County,2035,Non-Hisp Black Male,202,212,186,160,153,156,141,125,110,188,210,176,143,226,249,169,83,48,2937
Baltimore County,2030,Total Female,23780,24156,25451,28665,28898,27353,27527,28261,28369,27597,26260,26101,27190,28385,26361,20664,15304,17513,457835
State of Maryland,2025,Total Hispanic,60761,56529,60764,60258,56523,47980,50413,56002,59176,54273,44426,35452,27854,18842,11378,7042,3726,2461,713860
Charles County,2035,Total Female,6611,7007,7260,6972,5491,6110,6881,7932,8000,6895,6517,6374,7337,7968,7239,5390,3466,3416,116866
Harford County,2035,Total Non_Hispanic Other,2133,1934,1811,1550,1217,1706,1763,1613,1344,1201,1276,1112,1100,916,797,464,296,106,22339
Cecil County,2040,Total Non_Hispanic Other,749,750,779,642,445,403,646,659,617,425,333,298,238,158,92,48,30,10,7322
St. Mary's County,2030,Non-Hisp Black Female,751,814,760,698,700,770,663,786,801,802,622,631,783,646,443,242,156,146,11214
Anne Arundel County,2030,Non-Hisp White Male,9715,9657,9661,9857,10088,10049,11437,12269,12536,11930,9855,10388,11691,12502,10547,7809,5580,4314,179885
Frederick County,2020,Total Hispanic,2320,2190,2317,2289,2061,1930,1890,1926,1924,1681,1454,1197,773,462,324,188,114,101,25141
St. Mary's County,2020,Non-Hisp White Male,2843,2798,2953,2836,2640,2933,3022,3105,2689,2606,3183,3673,2872,2061,1692,1156,760,663,44485
Garrett County,2040,Total Non-Hispanic Black,66,58,56,196,103,18,14,19,7,12,9,3,3,4,3,2,2,3,578
State of Maryland,2035,Non-Hisp Other Male,28207,26671,25581,26006,24673,28108,27013,24314,22406,21229,20846,20370,19854,16238,13868,9929,6215,8533,370061
Caroline County,2045,Total Non_Hispanic Other,216,197,202,186,89,67,53,144,128,83,69,58,34,23,21,16,10,9,1605
Garrett County,2025,Total Female,824,842,804,798,837,845,800,844,918,854,1049,1101,1230,1144,948,790,557,556,15741
Kent County,2010,Total Non-Hispanic Black,189,143,157,224,232,144,138,129,190,242,251,190,169,211,137,103,75,79,3003
State of Maryland,2015,Total Non_Hispanic Other,38765,46963,44975,42519,36163,37400,39291,40079,39773,35933,34247,29679,23854,18444,12735,8575,4993,4149,538537
Prince George's County,2035,Total Hispanic,14207,12916,13482,13833,14429,11760,13016,10663,12958,15411,16525,15337,11769,8327,4017,2474,1072,330,192526
Carroll County,2015,Total Non_Hispanic Other,450,711,707,632,374,309,274,271,379,386,419,329,225,175,119,55,28,29,5872
Washington County,2035,Non-Hisp Other Male,618,635,584,452,274,532,485,372,272,205,219,189,235,140,133,89,24,0,5458
Somerset County,2020,Total Female,611,487,590,1477,1401,794,488,569,587,617,698,801,855,746,613,416,259,320,12329
Garrett County,2010,Hispanic Female,12,8,7,11,7,5,9,8,8,3,6,6,7,2,3,2,2,1,107
Carroll County,2025,Total Non-Hispanic White,7158,7738,7550,8058,7498,7185,8300,8899,8071,7037,8686,11712,13114,11620,9036,7570,5105,5380,149717
Garrett County,2045,Non-Hisp White Female,670,714,734,761,750,702,706,839,956,1050,980,925,1004,852,904,838,756,940,15081
Washington County,2020,Total Male,4651,4481,5226,5398,5200,5154,5033,5098,5057,5149,5649,5856,5126,4049,3154,2159,1340,1290,79070
Wicomico County,2010,Non-Hisp Black Male,909,930,943,1047,1009,668,628,577,683,820,775,614,470,340,221,167,106,69,10976
Caroline County,2030,Total,2742,2503,2448,2314,2257,2327,2023,2126,2530,2353,2203,2257,2385,2537,2197,1509,983,758,38452
Dorchester Co,2025,Total Non-Hispanic White,904,1065,1102,995,984,946,1150,1270,1395,1221,1399,1599,1896,1918,1505,1144,772,638,21903
Baltimore County,2020,Hispanic Female,2364,2466,2329,2107,1835,1936,2064,1978,1801,1545,1143,895,693,447,351,170,84,99,24307
Frederick County,2020,Non-Hisp Other Female,711,716,1122,1106,859,892,770,730,823,834,745,603,470,310,211,159,115,57,11233
Frederick County,2020,Non-Hisp White Female,4914,4485,4545,5603,5723,6027,5734,5535,4988,5807,7262,8277,7432,6030,4799,3474,2257,3725,96617
Allegany County,2035,Total Non_Hispanic Other,266,255,196,305,305,332,245,202,142,120,112,81,87,41,42,29,21,24,2805
Calvert County,2045,Non-Hisp Black Male,354,373,409,387,324,225,242,337,421,509,525,471,425,388,356,391,364,220,6721
Baltimore City,2035,Non-Hisp White Male,5086,3551,3373,3406,6107,9156,10253,8231,9260,8602,6224,4499,3327,2887,2702,2207,1488,1076,91435
Howard County,2040,Total Non-Hispanic Black,5926,6646,7489,7261,5135,5447,5852,6301,6906,7241,6380,5797,4840,4223,3547,3069,2015,1744,95819
Frederick County,2025,Total Hispanic,2982,2476,2522,2687,2563,2511,2146,2006,2041,2080,1756,1499,1258,841,475,347,175,142,30507
Talbot County,2035,Non-Hisp Black Female,148,145,163,156,155,156,169,132,150,185,169,153,157,203,187,180,206,167,2981
Dorchester Co,2015,Non-Hisp White Female,480,509,545,367,503,535,591,539,567,712,897,959,858,744,693,432,321,404,10656
Allegany County,2025,Total Female,1633,1758,1581,2473,2260,1757,2459,1861,1978,1673,2089,2169,2586,2584,2190,1913,1281,1330,35575
Dorchester Co,2020,Total Female,900,1007,1123,961,757,1040,1036,1070,961,1061,1199,1342,1532,1174,965,736,430,601,17895
Baltimore City,2045,Total Male,18940,17147,16392,19258,23796,27931,24965,22019,22221,19976,22322,22387,18177,12368,8625,6912,5165,4580,313181
State of Maryland,2040,Total Non-Hispanic White,140366,142120,147581,156008,154412,159853,158751,172804,175891,187755,187977,171210,146086,146158,160408,167598,136024,162662,2873664
Dorchester Co,2040,Total Male,1127,1160,1153,1104,898,872,1027,1163,1236,1155,1357,1404,1101,1018,1003,886,633,460,18757
Worcester County,2035,Hispanic Male,110,105,81,77,101,102,108,68,84,121,106,81,68,63,44,20,16,23,1378
Carroll County,2045,Total Male,4751,5402,5407,5582,5061,4263,4270,4905,5211,5289,5321,5086,4370,3336,3714,4531,4690,7151,88340
Prince George's County,2025,Non-Hisp Other Female,2106,1651,1617,3275,3230,3014,2669,2560,2366,2542,2351,2095,1930,1683,1300,1022,524,407,36342
Talbot County,2015,Total Hispanic,304,260,190,136,147,230,294,214,166,118,99,68,40,29,23,19,6,10,2353
Caroline County,2025,Non-Hisp Other Female,109,73,78,87,41,45,32,33,29,26,28,23,20,16,11,6,4,3,664
Worcester County,2025,Total Non-Hispanic White,1586,1669,1935,1821,1797,1846,1830,2027,2185,2098,2644,3695,4738,4147,3352,2855,1992,1720,43937
Somerset County,2020,Non-Hisp White Male,268,223,242,319,387,405,419,443,442,428,420,599,625,542,435,317,161,133,6808
Charles County,2040,Non-Hisp Black Male,4227,4598,5021,5089,3348,3135,3272,3735,4145,4076,3410,2747,2505,2896,2835,2103,1074,510,58726
Calvert County,2035,Total Male,2738,3062,3329,2903,2069,2281,2985,3559,3656,3446,2937,2335,2235,2866,3045,2250,1467,1212,48375
Somerset County,2045,Total,1379,1319,1451,2940,4056,1917,1556,1716,1872,1686,1815,1439,1444,1344,1103,898,910,904,29749
State of Maryland,2045,Non-Hisp Black Female,70879,71773,73930,77409,73332,74544,76544,78259,78736,78945,83208,77020,67424,58965,54837,53039,45624,72479,1266947
Somerset County,2035,Hispanic Male,76,73,66,83,73,50,25,21,25,30,28,15,7,3,1,1,0,1,578
St. Mary's County,2020,Total Non-Hispanic White,5539,5416,5695,5709,5209,5678,6043,6155,5420,5380,6369,7052,5783,4293,3493,2505,1595,1473,88807
St. Mary's County,2015,Total Male,3886,4107,4131,4000,3702,3794,3781,3415,3364,4018,4706,3966,2774,2220,1642,1075,651,631,55863
Montgomery County,2040,Non-Hisp Other Male,9227,9228,8854,8276,6747,7817,8738,8787,7959,7240,6950,6869,6914,6785,5874,5046,3831,8113,133255
Montgomery County,2040,Total Hispanic,24623,23307,21489,20137,19223,19498,19127,19211,17527,17497,18670,19120,17487,14357,11220,8791,5411,3081,299776
Charles County,2035,Non-Hisp Black Female,3845,4160,4546,4362,3066,3354,3989,4863,4971,4117,3670,3657,4442,4678,3766,2421,1108,1147,66162
Cecil County,2020,Hispanic Male,273,298,310,286,276,264,242,244,209,149,151,103,85,39,30,12,7,13,2991
Somerset County,2025,Total Non_Hispanic Other,120,114,71,127,174,64,69,62,44,44,47,49,37,46,17,19,12,9,1125
Calvert County,2025,Total Non_Hispanic Other,360,329,336,569,367,340,294,277,248,228,273,306,321,169,117,83,51,8,4676
St. Mary's County,2045,Total Non-Hispanic White,6566,6799,7186,6771,5796,5982,6441,7272,7747,7349,7511,7046,6018,4706,4244,4536,4101,4351,110422
Cecil County,2030,Non-Hisp Other Female,344,302,220,188,278,314,285,215,177,169,135,152,125,38,40,23,10,6,3021
Prince George's County,2015,Non-Hisp Black Female,17165,17112,17365,19104,20587,22117,19595,19268,21110,23499,25136,22787,19549,15744,9997,6459,3978,4376,304948
Wicomico County,2035,Total Non-Hispanic White,3487,3603,3192,4627,4864,4647,4289,4747,4476,4059,3495,3763,3409,3644,3920,3560,2662,3165,69609
Anne Arundel County,2040,Non-Hisp Other Male,2406,2382,2297,2165,2184,1826,2604,2333,2054,1783,1603,1545,1461,1214,958,713,523,197,30248
Queen Anne's County,2045,Total Non-Hispanic Black,268,256,289,263,262,232,221,251,396,334,367,402,422,407,292,285,223,273,5443
Worcester County,2025,Total Hispanic,168,147,166,201,207,150,128,197,185,177,136,116,84,49,38,26,22,26,2223
Calvert County,2040,Non-Hisp Black Male,347,356,393,369,291,201,293,325,479,489,476,424,406,372,455,417,287,174,6554
St. Mary's County,2025,Total Non-Hispanic Black,1351,1392,1433,1451,1296,1220,1284,1258,1295,1089,1131,1327,1365,941,563,351,249,202,19198
Montgomery County,2035,Total Non-Hispanic White,15778,17643,19352,16918,13462,15988,16224,19102,24608,27964,25048,20502,20181,21961,23457,22171,18383,20129,358871
Baltimore County,2010,Non-Hisp Black Male,7393,7584,8156,8783,7586,6546,6175,6428,6853,6677,5881,4836,3925,2441,1615,1047,699,427,93052
Baltimore City,2040,Non-Hisp Black Female,12650,11975,12335,13450,12863,11756,13050,12011,11776,13920,13732,12661,10306,9015,9185,9852,8097,7594,206228
St. Mary's County,2010,Non-Hisp White Female,2578,2690,2705,2866,2682,2502,2415,2673,3164,3414,3077,2516,2095,1497,1099,818,591,659,40041
Wicomico County,2015,Total,5560,6349,6412,8770,9391,6984,5711,6191,5635,6120,6913,6934,6041,5070,3666,2350,1744,2110,101951
Talbot County,2025,Total Non_Hispanic Other,95,73,51,156,129,114,104,64,87,60,54,66,40,22,24,18,16,18,1191
Baltimore City,2020,Total Female,18954,16485,17224,19031,21542,29032,30082,25430,20328,17389,17845,20002,19759,16433,12470,8326,5492,6715,322539
Queen Anne's County,2015,Total Female,1194,1501,1696,1390,1031,1114,1242,1223,1629,2036,2209,2085,1664,1532,1234,780,508,536,24604
Dorchester Co,2030,Total Non_Hispanic Other,136,100,80,78,140,124,99,90,87,86,72,71,57,55,61,21,10,3,1370
Wicomico County,2010,Total Non-Hispanic Black,1836,1843,1816,2137,2058,1543,1430,1319,1508,1734,1683,1379,1061,717,506,422,292,250,23534
Baltimore City,2015,Non-Hisp White Male,4425,2235,2522,3120,7365,13145,9762,6737,5062,4916,5344,5381,4981,4014,2745,1790,1141,1219,85904
Queen Anne's County,2040,Total Non-Hispanic Black,243,227,259,230,236,205,247,228,311,375,343,382,342,297,302,325,227,206,4985
Allegany County,2040,Non-Hisp Black Male,68,56,56,340,735,836,951,837,580,487,462,264,164,52,31,39,14,9,5981
Carroll County,2030,Non-Hisp Other Female,398,344,264,275,352,357,321,288,220,201,211,281,224,213,176,73,63,56,4317
Talbot County,2020,Total,1702,1856,2132,2054,1538,1654,1910,2040,1856,2132,2399,2966,3026,3206,2964,2383,1521,1517,38856
Anne Arundel County,2010,Total Non-Hispanic White,21138,22105,23224,23155,23894,24651,22546,24276,28879,34103,32641,28751,25709,18779,12314,9357,7230,6634,389386
Dorchester Co,2025,Total Hispanic,305,280,254,254,192,155,158,182,167,144,78,70,32,30,32,19,22,9,2383
Dorchester Co,2040,Non-Hisp White Male,490,539,551,518,471,498,577,697,704,671,818,832,647,694,742,663,480,359,10951
Anne Arundel County,2010,Non-Hisp Black Male,2974,2999,3110,3279,3079,3098,2936,3001,3212,3122,2769,2080,1463,1010,672,491,294,185,39774
Calvert County,2035,Non-Hisp White Female,1867,2310,2438,2045,1443,1489,2269,2736,2669,2482,2239,1764,1853,2439,2883,2314,1585,1920,38745
Garrett County,2020,Hispanic Female,30,29,12,10,11,8,7,11,16,14,12,6,13,5,4,3,5,1,197
Frederick County,2040,Total Non-Hispanic White,11013,11955,12024,11761,9493,9549,11642,16370,15597,13877,11483,10266,8787,9702,11126,12639,10303,13511,211098
Frederick County,2025,Non-Hisp Black Male,1074,952,1099,1048,1008,1007,1090,932,1003,954,1123,977,917,649,314,225,116,65,14553
Queen Anne's County,2035,Total Non_Hispanic Other,215,202,149,100,99,199,187,145,122,98,77,95,124,118,110,71,39,-1,2149
Howard County,2015,Non-Hisp Other Male,2776,3030,2986,2497,1927,1912,2175,2436,2677,2267,2137,1641,1222,854,641,470,299,137,32084
Calvert County,2040,Hispanic Male,231,218,202,188,131,157,141,173,134,120,132,89,47,42,36,35,10,37,2123
Somerset County,2040,Total Non-Hispanic Black,643,655,746,2005,2881,1074,1043,962,888,903,435,398,410,309,308,275,214,178,14327
Howard County,2020,Total Non_Hispanic Other,5984,6824,6721,6236,4840,5086,5226,6042,6260,6038,5217,4432,3451,2569,2018,1387,949,628,79908
Carroll County,2010,Non-Hisp Other Female,311,344,287,255,148,124,134,217,184,181,167,111,92,72,49,19,18,14,2727
St. Mary's County,2045,Total Female,5274,5431,5534,5403,4700,4391,4766,5343,5744,5272,5458,4977,4517,3484,3226,3333,2735,2675,82263
Charles County,2010,Total Non-Hispanic Black,4045,4719,5616,5572,3388,3217,3668,5155,6029,5643,3905,2691,2038,1347,919,581,349,319,59201
Baltimore City,2025,Non-Hisp Other Male,1011,721,637,1396,1683,1135,1130,1398,1459,1200,1016,769,652,458,260,131,25,4,15085
Allegany County,2020,Non-Hisp Black Female,47,52,53,313,710,726,955,806,528,312,266,187,167,34,28,17,18,5,5224
Somerset County,2020,Non-Hisp Other Female,39,32,51,59,80,32,33,18,20,14,21,19,15,9,11,11,5,3,472
Baltimore City,2015,Total Non-Hispanic Black,24108,26624,25039,26464,30233,28550,26231,23272,21832,24315,28452,27700,22154,16553,11131,8061,5691,5967,382377
Wicomico County,2025,Total Non-Hispanic Black,2316,2314,2441,2375,2398,1849,2071,2015,1889,1629,1425,1524,1732,1564,1063,695,331,336,29967
Carroll County,2030,Total Female,4489,4816,4502,4315,4092,4176,5055,5499,5228,4793,4155,5256,6420,7447,6298,5066,4217,4497,90321
Somerset County,2035,Total Non_Hispanic Other,273,218,228,300,321,218,157,129,141,144,106,55,31,25,26,31,8,10,2421
Frederick County,2010,Total Male,7623,8386,8820,8617,6705,6758,6753,7875,9199,10322,9091,7435,6090,4008,2666,1912,1408,1138,114806
Calvert County,2030,Total Hispanic,399,404,395,445,382,366,297,285,254,262,243,200,139,161,87,62,46,54,4481
State of Maryland,2025,Non-Hisp White Female,74289,71719,71011,72658,77194,86931,95673,99234,90796,80547,87134,104557,119172,113078,95553,79522,53429,61979,1534476
Charles County,2040,Hispanic Male,827,786,753,694,663,718,609,592,500,496,453,404,326,226,195,161,28,41,8472
State of Maryland,2040,Total Non-Hispanic Black,141516,140610,146756,151205,141257,141197,142620,145163,147208,158150,144585,127340,110886,103359,99057,88821,63831,77042,2270603
Calvert County,2030,Total Male,2849,3019,3103,2771,2297,2660,3275,3391,3483,2977,2458,2401,3126,3491,2705,1900,1251,923,48080
Worcester County,2035,Non-Hisp White Female,777,791,959,909,852,955,1034,1065,1246,1369,1404,1563,2030,2320,2356,1888,1305,1441,24264
Somerset County,2020,Total Hispanic,125,122,117,128,91,63,91,76,66,46,30,13,9,3,2,1,2,8,993
Carroll County,2035,Total,9227,10372,10032,9417,7992,7878,9698,10870,11025,10452,9329,8003,9566,12179,12968,10916,8257,10315,178496
Washington County,2030,Total Hispanic,1082,1064,978,1072,1178,993,813,693,612,630,614,528,509,364,252,81,55,9,11527
St. Mary's County,2045,Non-Hisp Other Female,514,521,547,644,446,334,346,487,453,371,344,269,255,255,248,223,125,22,6404
Washington County,2015,Total Female,3820,4600,4859,4452,3991,4280,4343,4390,4766,5332,5711,5372,4731,4004,2968,2305,1755,2271,73950
Harford County,2025,Total Hispanic,1264,1315,1418,1599,1385,1244,1137,877,910,832,783,596,502,369,225,187,104,43,14790
Harford County,2010,Total Non_Hispanic Other,1426,1446,1243,961,642,696,749,857,772,751,667,479,420,315,206,119,79,47,11875
St. Mary's County,2030,Non-Hisp Other Female,486,405,365,408,476,378,335,311,258,241,263,237,263,246,219,136,59,9,5095
Talbot County,2020,Non-Hisp Other Male,41,25,76,70,49,50,37,41,30,29,35,25,16,18,14,10,6,6,578
Charles County,2020,Total Non-Hispanic Black,5334,5607,6149,6510,5006,5217,4954,4851,5038,6490,7056,6252,4293,2856,1946,1244,594,558,79955
Washington County,2045,Non-Hisp Other Female,621,608,645,667,583,450,334,748,668,570,433,307,318,260,228,103,9,23,7575
Prince George's County,2030,Total Hispanic,14190,13790,13322,16010,12749,13334,10812,13097,15578,16660,15627,11968,9248,6173,2850,1740,698,257,188103
Worcester County,2045,Total Non-Hispanic White,1702,1841,2228,2149,2004,2089,2079,2099,2533,2574,2913,3617,3960,3511,3575,3504,2956,2957,48291
Garrett County,2030,Hispanic Male,22,19,19,39,38,14,13,11,17,20,9,13,12,4,0,2,4,6,262
Washington County,2010,Total,9002,9367,9592,9352,8789,9436,9072,9770,11118,12017,11008,9555,8248,6180,4789,3952,3124,3059,147430
Queen Anne's County,2010,Total Non_Hispanic Other,202,205,148,103,68,50,61,85,85,91,70,62,48,31,19,13,11,3,1355
Calvert County,2025,Total Non-Hispanic Black,636,628,680,730,642,640,810,813,756,798,843,1142,1122,900,738,500,284,217,12879
Frederick County,2030,Hispanic Male,1753,1523,1266,1297,1365,1326,1181,1047,1008,1048,1077,894,743,628,363,216,140,95,16970
Allegany County,2040,Total,3137,3410,3593,5075,5283,4222,5233,5128,4901,5629,4695,4627,3862,3942,3882,3735,2881,2819,76054
St. Mary's County,2015,Hispanic Male,349,301,240,229,261,246,265,242,179,142,130,100,59,16,15,12,8,5,2799
Prince George's County,2025,Non-Hisp White Female,2764,2383,2083,3393,4420,3562,4170,3799,2857,2567,2420,2877,3824,4324,3893,3117,2201,2714,57368
Wicomico County,2035,Non-Hisp White Male,1815,1878,1653,2152,2292,2283,1965,2200,2231,2017,1663,1867,1660,1713,1710,1596,1046,1187,32928
Montgomery County,2045,Total,76034,74865,76115,72044,65736,72453,76049,73747,77312,72760,75472,78086,72085,61460,55545,49128,41435,53015,1223341
State of Maryland,2010,Total Non-Hispanic White,156085,169843,183614,198685,194195,192077,172442,183672,221663,265594,267287,239883,208868,153335,108450,88715,75340,78210,3157958
Kent County,2035,Total Non_Hispanic Other,60,51,38,75,70,59,51,23,23,21,24,27,14,18,17,10,7,4,592
Somerset County,2030,Total Non_Hispanic Other,102,134,88,96,191,69,74,66,74,38,50,43,41,37,24,16,12,12,1167
Somerset County,2025,Non-Hisp White Male,264,242,243,260,371,376,415,439,486,432,421,431,639,568,478,356,214,145,6780
Frederick County,2020,Hispanic Female,1160,1103,1152,1123,1042,981,922,943,934,821,701,589,422,249,179,97,67,60,12545
Wicomico County,2040,Total,7968,8085,8069,9787,9506,7231,7981,8664,8235,8115,7446,6444,6086,5189,4969,4824,3710,4347,126656
Worcester County,2040,Total Female,1288,1350,1541,1508,1217,1444,1508,1635,1659,1732,1928,2077,2188,2392,2479,2487,1820,1832,32085
Anne Arundel County,2010,Total Non_Hispanic Other,3724,3235,2898,2584,2397,2519,2638,2521,2099,2119,1915,1551,1227,876,569,326,216,135,33549
Garrett County,2035,Total Hispanic,62,42,43,59,85,24,26,21,33,30,30,38,42,13,7,8,8,10,581
Howard County,2020,Non-Hisp Other Female,2959,3317,3163,3049,2355,2507,2701,3202,3326,3150,2716,2294,1710,1320,1126,740,467,375,40477
Kent County,2010,Hispanic Female,46,31,27,40,44,42,35,24,20,18,14,10,8,4,1,3,2,2,371
Worcester County,2035,Total Non-Hispanic Black,598,551,576,520,519,617,600,533,522,448,404,378,321,400,512,492,297,266,8554
Charles County,2015,Non-Hisp White Female,1624,1556,1742,1871,1979,1867,1890,1686,1964,2680,3235,2951,2504,2091,1643,999,692,812,33786
State of Maryland,2015,Non-Hisp Other Male,19592,23715,22603,20941,18173,17772,17853,18018,18061,16268,15801,13641,10774,8252,5771,3873,2165,1785,255058
Cecil County,2015,Non-Hisp Other Male,126,230,234,195,138,126,103,79,97,94,105,92,58,58,19,6,10,4,1774
Caroline County,2030,Non-Hisp Other Female,127,95,107,63,54,48,45,37,37,30,27,28,17,16,16,7,4,4,762
Washington County,2025,Total Female,5360,4661,4353,5317,5050,4845,4504,4914,4958,4789,5011,5603,6100,5319,4143,3435,2157,2633,83152
Queen Anne's County,2045,Non-Hisp Black Male,141,122,133,119,136,117,109,130,161,167,161,180,195,234,166,143,85,82,2581
Wicomico County,2030,Hispanic Male,372,301,273,419,329,260,203,251,350,337,256,167,134,90,39,19,8,8,3816
St. Mary's County,2030,Non-Hisp Other Male,482,406,375,407,528,401,316,254,228,207,215,177,213,144,95,44,21,34,4547
Washington County,2040,Total Non-Hispanic White,7666,7771,8012,7816,7252,6931,7776,8218,7401,6974,7480,7657,7073,7270,7579,7575,5564,6533,132548
Worcester County,2030,Total Non-Hispanic Black,553,480,502,467,577,541,521,520,422,412,396,305,392,533,506,414,241,218,8000
Queen Anne's County,2020,Total Male,1214,1337,1604,1662,1205,1043,1489,1511,1355,1522,1845,2306,2021,1645,1293,1024,476,407,24959
Washington County,2040,Hispanic Male,612,620,606,629,630,663,635,532,455,385,347,373,329,273,256,34,24,3,7406
Garrett County,2020,Non-Hisp Other Female,24,26,45,34,15,15,23,11,9,3,12,9,12,9,5,4,0,5,261
Baltimore County,2025,Non-Hisp White Female,8956,9512,10567,11368,11817,11847,11372,12856,12803,11747,12217,14496,17667,18362,15262,12445,8299,12099,223692
Harford County,2010,Total,14982,16345,18006,17343,13906,14308,13898,15717,18333,21015,19824,16415,14170,10298,7098,5403,4193,3572,244826
Kent County,2015,Total,757,987,973,1264,1441,1034,856,867,911,1113,1505,1570,1452,1525,1280,713,622,735,19605
Harford County,2040,Total Female,8688,8708,8715,8530,7503,7760,8931,9613,10056,9625,8686,8144,7318,7369,7900,7751,6624,10689,152610
Carroll County,2020,Non-Hisp Other Female,219,215,392,444,274,219,179,177,171,256,235,205,163,122,105,47,31,27,3481
Worcester County,2030,Total Female,1270,1245,1402,1375,1209,1474,1373,1421,1607,1560,1580,1960,2562,2942,2477,1892,1451,1397,30197
Howard County,2040,Total Female,9596,10390,11541,11107,9337,9876,10024,11416,13075,13589,12153,11722,10339,9668,9685,10092,8111,8868,190589
Worcester County,2030,Non-Hisp White Male,847,965,1129,1030,966,961,921,906,1131,1177,1190,1545,2125,2226,1731,1309,975,833,21967
Dorchester Co,2035,Total Female,1133,1114,1106,1037,1017,1202,1111,945,1181,1267,1338,1221,1324,1239,1312,1114,712,892,20265
Dorchester Co,2030,Non-Hisp Black Male,359,311,346,372,360,270,244,292,407,374,345,343,333,290,216,143,85,59,5149
Somerset County,2015,Total Non-Hispanic White,537,472,609,611,717,698,743,756,798,852,1131,1177,1191,989,761,500,338,341,13221
St. Mary's County,2035,Total Non-Hisp Black,1660,1775,1868,1785,1512,1558,1559,1446,1702,1712,1572,1205,1262,1207,1034,629,373,287,24146
Somerset County,2040,Hispanic Female,79,70,59,102,82,36,45,38,24,31,48,15,7,4,1,0,0,1,642
Somerset County,2020,Total Male,655,582,598,1072,1853,1252,1027,912,932,818,749,1035,901,713,539,384,231,168,14421
Howard County,2020,Non-Hisp White Male,3981,3983,4085,4734,4443,6205,5210,4619,3958,4329,5665,7463,6896,5671,4492,2959,1586,1372,81651
Caroline County,2040,Total Non-Hispanic White,1858,1964,2002,1706,1320,1476,1891,2091,1811,1724,2073,1984,1709,1685,1676,1530,1072,938,30510
Howard County,2020,Total,20447,21870,22826,22380,19051,23143,21593,22500,21337,21587,23309,24931,21422,17153,13466,9293,5591,5022,336921
Carroll County,2040,Total Non-Hispanic White,7054,8256,8297,8133,7140,6004,7226,8644,8805,8871,8505,7641,6402,7878,10046,11377,9647,13086,153012
Queen Anne's County,2025,Total Female,1381,1429,1483,1455,1176,1147,1411,1666,1644,1432,1744,2110,2250,2082,1542,1358,899,781,26990
St. Mary's County,2015,Non-Hisp Other Male,258,463,424,357,241,181,170,164,140,164,169,148,104,74,47,23,9,15,3151
Worcester County,2015,Hispanic Male,75,87,87,49,77,105,106,87,80,82,50,23,20,17,14,10,7,5,981
Kent County,2025,Total Male,365,452,454,659,692,403,487,645,570,543,615,665,913,918,707,593,426,250,10357
Caroline County,2025,Total Hispanic,450,334,322,300,346,250,234,184,187,130,120,97,39,28,20,11,2,6,3060
Wicomico County,2040,Total Non-Hispanic White,3229,3515,3550,5044,5180,3519,3860,4787,4651,4553,3989,3431,3632,3272,3374,3359,2821,3623,69389
Frederick County,2025,Hispanic Male,1510,1233,1229,1336,1306,1161,1046,1001,1027,1068,900,754,637,374,227,157,82,60,15108
Dorchester Co,2015,Non-Hisp Other Male,49,85,62,49,22,30,24,27,23,28,25,28,20,16,12,9,3,0,512
Anne Arundel County,2015,Non-Hisp Black Female,3058,3230,3160,2935,2977,3401,3919,3520,3451,3689,3657,3179,2346,1821,1065,774,508,560,47250
Carroll County,2030,Total Hispanic,694,669,608,678,653,607,588,592,522,513,374,368,337,194,96,64,28,43,7628
Frederick County,2045,Total Hispanic,4404,4222,4015,3761,3355,2837,2861,2938,2805,2694,2256,2099,2097,2081,1704,1402,1069,796,47396
Caroline County,2025,Non-Hisp Other Male,39,21,18,102,55,34,40,30,30,15,12,18,11,13,11,7,3,2,461
Somerset County,2010,Hispanic Male,62,37,26,42,60,46,37,32,23,16,14,3,8,1,0,3,2,1,413
Montgomery County,2015,Total Male,33755,32706,35844,31719,29098,34841,36144,33995,33302,33977,36184,34336,28917,22250,15079,9885,6844,7618,496494
Dorchester Co,2010,Non-Hisp Other Female,93,59,42,30,30,38,23,30,22,26,37,27,22,14,12,3,6,4,518
Baltimore County,2015,Total Female,24073,24524,24568,27526,29260,29428,27760,26373,26280,28033,31750,32178,28145,23471,16051,11880,10103,15768,437171
Anne Arundel County,2015,Total Hispanic,4627,4253,3581,3106,3408,3735,4249,3750,3006,2285,1741,1298,850,484,297,223,161,90,41144
Somerset County,2030,Non-Hisp White Female,241,248,262,251,235,263,243,313,325,421,445,466,517,577,524,409,296,259,6295
Kent County,2035,Non-Hisp Black Male,50,45,44,64,60,59,62,66,152,134,165,125,110,119,116,72,57,44,1544
Calvert County,2015,Non-Hisp Other Female,116,255,317,241,118,127,122,112,142,173,178,119,108,58,44,25,19,4,2278
Baltimore County,2035,Non-Hisp Black Male,10301,10606,10973,10623,9760,9572,8961,9134,10189,9380,7895,7281,6951,6518,5494,3868,2427,1941,141874
Carroll County,2045,Total Non_Hispanic Other,884,1018,1008,1089,635,489,479,737,762,679,616,527,391,354,450,216,153,158,10645
Wicomico County,2010,Non-Hisp Black Female,927,913,873,1090,1049,875,802,742,825,914,908,765,591,377,285,255,186,181,12558
Washington County,2015,Non-Hisp Other Male,223,513,517,386,207,161,174,153,184,152,161,145,107,58,31,31,9,2,3214
